"","Age","Year","Population","CoB","Age group","Age group (condensed)"
"1080","77",2010,327501,"Total","75-79","65+"
"1081","78",2010,322052,"Total","75-79","65+"
"1082","79",2010,310175,"Total","75-79","65+"
"1083","80",2010,291867,"Total","80-84","65+"
"1084","81",2010,267769,"Total","80-84","65+"
"1085","82",2010,245377,"Total","80-84","65+"
"1086","83",2010,227987,"Total","80-84","65+"
"1087","84",2010,210353,"Total","80-84","65+"
"1088","85",2010,189767,"Total","85-89","65+"
"1089","86",2010,171355,"Total","85-89","65+"
"1090","87",2010,153741,"Total","85-89","65+"
"1091","88",2010,139940,"Total","85-89","65+"
"1092","89",2010,123979,"Total","85-89","65+"
"1093",NA,2010,386268,"Total",NA,NA
"1094","0",2011,679102,"Total","0-4","0-14"
"1095","1",2011,669858,"Total","0-4","0-14"
"1096","2",2011,661891,"Total","0-4","0-14"
"1097","3",2011,669484,"Total","0-4","0-14"
"1098","4",2011,648411,"Total","0-4","0-14"
"1099","5",2011,635925,"Total","5-9","0-14"
"1100","6",2011,608280,"Total","5-9","0-14"
"1101","7",2011,597679,"Total","5-9","0-14"
"1102","8",2011,579791,"Total","5-9","0-14"
"1103","9",2011,568460,"Total","5-9","0-14"
"1104","10",2011,583192,"Total","10-14","0-14"
"1105","11",2011,599021,"Total","10-14","0-14"
"1106","12",2011,617326,"Total","10-14","0-14"
"1107","13",2011,625128,"Total","10-14","0-14"
"1108","14",2011,642744,"Total","10-14","0-14"
"1109","15",2011,643838,"Total","15-19","15-64"
"1110","16",2011,643625,"Total","15-19","15-64"
"1111","17",2011,666996,"Total","15-19","15-64"
"1112","18",2011,671694,"Total","15-19","15-64"
"1113","19",2011,698117,"Total","15-19","15-64"
"1114","20",2011,719878,"Total","20-24","15-64"
"1115","21",2011,713864,"Total","20-24","15-64"
"1116","22",2011,714692,"Total","20-24","15-64"
"1117","23",2011,730305,"Total","20-24","15-64"
"1118","24",2011,717522,"Total","20-24","15-64"
"1119","25",2011,730255,"Total","25-29","15-64"
"1120","26",2011,736817,"Total","25-29","15-64"
"1121","27",2011,723383,"Total","25-29","15-64"
"1122","28",2011,732154,"Total","25-29","15-64"
"1123","29",2011,734618,"Total","25-29","15-64"
"1124","30",2011,741904,"Total","30-34","15-64"
"1125","31",2011,745069,"Total","30-34","15-64"
"1126","32",2011,716022,"Total","30-34","15-64"
"1127","33",2011,668117,"Total","30-34","15-64"
"1128","34",2011,658038,"Total","30-34","15-64"
"1129","35",2011,668977,"Total","35-39","15-64"
"1130","36",2011,682056,"Total","35-39","15-64"
"1131","37",2011,693562,"Total","35-39","15-64"
"1132","38",2011,723729,"Total","35-39","15-64"
"1133","39",2011,754048,"Total","35-39","15-64"
"1134","40",2011,778527,"Total","40-44","15-64"
"1135","41",2011,759492,"Total","40-44","15-64"
"1136","42",2011,777911,"Total","40-44","15-64"
"1137","43",2011,777050,"Total","40-44","15-64"
"1138","44",2011,788503,"Total","40-44","15-64"
"1139","45",2011,789225,"Total","45-49","15-64"
"1140","46",2011,793306,"Total","45-49","15-64"
"1141","47",2011,786015,"Total","45-49","15-64"
"1142","48",2011,770056,"Total","45-49","15-64"
"1143","49",2011,753474,"Total","45-49","15-64"
"1144","50",2011,727736,"Total","50-54","15-64"
"1145","51",2011,698861,"Total","50-54","15-64"
"1146","52",2011,683438,"Total","50-54","15-64"
"1147","53",2011,668589,"Total","50-54","15-64"
"1148","54",2011,643955,"Total","50-54","15-64"
"1149","55",2011,622322,"Total","55-59","15-64"
"1150","56",2011,600440,"Total","55-59","15-64"
"1151","57",2011,603239,"Total","55-59","15-64"
"1152","58",2011,596488,"Total","55-59","15-64"
"1153","59",2011,581012,"Total","55-59","15-64"
"1154","60",2011,585854,"Total","60-64","15-64"
"1155","61",2011,599145,"Total","60-64","15-64"
"1156","62",2011,615642,"Total","60-64","15-64"
"1157","63",2011,652004,"Total","60-64","15-64"
"1158","64",2011,709646,"Total","60-64","15-64"
"1159","65",2011,548640,"Total","65-69","65+"
"1160","66",2011,533894,"Total","65-69","65+"
"1161","67",2011,533167,"Total","65-69","65+"
"1162","68",2011,497039,"Total","65-69","65+"
"1163","69",2011,444880,"Total","65-69","65+"
"1164","70",2011,401964,"Total","70-74","65+"
"1165","71",2011,419739,"Total","70-74","65+"
"1166","72",2011,417439,"Total","70-74","65+"
"1167","73",2011,406955,"Total","70-74","65+"
"1168","74",2011,388454,"Total","70-74","65+"
"1169","75",2011,370663,"Total","75-79","65+"
"1170","76",2011,353894,"Total","75-79","65+"
"1171","77",2011,329623,"Total","75-79","65+"
"1172","78",2011,315300,"Total","75-79","65+"
"1173","79",2011,308851,"Total","75-79","65+"
"1174","80",2011,295917,"Total","80-84","65+"
"1175","81",2011,277110,"Total","80-84","65+"
"1176","82",2011,252303,"Total","80-84","65+"
"1177","83",2011,229424,"Total","80-84","65+"
"1178","84",2011,211093,"Total","80-84","65+"
"1179","85",2011,193088,"Total","85-89","65+"
"1180","86",2011,172522,"Total","85-89","65+"
"1181","87",2011,154122,"Total","85-89","65+"
"1182","88",2011,136775,"Total","85-89","65+"
"1183","89",2011,122397,"Total","85-89","65+"
"1184",NA,2011,414414,"Total",NA,NA
"1185","0",2012,696441,"Total","0-4","0-14"
"1186","1",2012,684026,"Total","0-4","0-14"
"1187","2",2012,674386,"Total","0-4","0-14"
"1188","3",2012,665744,"Total","0-4","0-14"
"1189","4",2012,672759,"Total","0-4","0-14"
"1190","5",2012,651473,"Total","5-9","0-14"
"1191","6",2012,638419,"Total","5-9","0-14"
"1192","7",2012,610955,"Total","5-9","0-14"
"1193","8",2012,600238,"Total","5-9","0-14"
"1194","9",2012,582497,"Total","5-9","0-14"
"1195","10",2012,571373,"Total","10-14","0-14"
"1196","11",2012,586219,"Total","10-14","0-14"
"1197","12",2012,601871,"Total","10-14","0-14"
"1198","13",2012,620278,"Total","10-14","0-14"
"1199","14",2012,628130,"Total","10-14","0-14"
"1200","15",2012,645417,"Total","15-19","15-64"
"1201","16",2012,646317,"Total","15-19","15-64"
"1202","17",2012,646767,"Total","15-19","15-64"
"1203","18",2012,670895,"Total","15-19","15-64"
"1204","19",2012,676910,"Total","15-19","15-64"
"1205","20",2012,705163,"Total","20-24","15-64"
"1206","21",2012,728804,"Total","20-24","15-64"
"1207","22",2012,725244,"Total","20-24","15-64"
"1208","23",2012,725112,"Total","20-24","15-64"
"1209","24",2012,737228,"Total","20-24","15-64"
"1210","25",2012,723675,"Total","25-29","15-64"
"1211","26",2012,734767,"Total","25-29","15-64"
"1212","27",2012,740472,"Total","25-29","15-64"
"1213","28",2012,726009,"Total","25-29","15-64"
"1214","29",2012,734654,"Total","25-29","15-64"
"1215","30",2012,735633,"Total","30-34","15-64"
"1216","31",2012,742920,"Total","30-34","15-64"
"1217","32",2012,745426,"Total","30-34","15-64"
"1218","33",2012,715532,"Total","30-34","15-64"
"1219","34",2012,667706,"Total","30-34","15-64"
"1220","35",2012,657268,"Total","35-39","15-64"
"1221","36",2012,668419,"Total","35-39","15-64"
"1222","37",2012,681331,"Total","35-39","15-64"
"1223","38",2012,693126,"Total","35-39","15-64"
"1224","39",2012,723209,"Total","35-39","15-64"
"1225","40",2012,753237,"Total","40-44","15-64"
"1226","41",2012,777487,"Total","40-44","15-64"
"1227","42",2012,759000,"Total","40-44","15-64"
"1228","43",2012,776811,"Total","40-44","15-64"
"1229","44",2012,776181,"Total","40-44","15-64"
"1230","45",2012,787707,"Total","45-49","15-64"
"1231","46",2012,788277,"Total","45-49","15-64"
"1232","47",2012,792104,"Total","45-49","15-64"
"1233","48",2012,784876,"Total","45-49","15-64"
